structure,pred_at_lowest_logR,pred_at_highest_logR,mean_pred
porous,0.42033590871879,-0.2284736017846451,0.09593115346707247
hydrogel,0.7198898148387057,0.0710803043352706,0.39548505958698815
film,1.0894539253981976,0.4406444148947623,0.76504917014648
