structure,log_R,median_pred,q25_pred,q75_pred,n
film,-2.0,1.0894539253981976,1.0894539253981976,1.0894539253981976,1
film,-1.0,0.76504917014648,0.76504917014648,0.76504917014648,1
film,0.0,0.4406444148947623,0.4406444148947623,0.4406444148947623,1
hydrogel,-2.0,0.7198898148387057,0.7198898148387057,0.7198898148387057,1
hydrogel,-1.0,0.3954850595869882,0.3954850595869882,0.3954850595869882,1
hydrogel,0.0,0.0710803043352706,0.0710803043352706,0.0710803043352706,1
porous,-2.0,0.42033590871879,0.42033590871879,0.42033590871879,1
porous,-1.0,0.0959311534670725,0.0959311534670725,0.0959311534670725,1
porous,0.0,-0.2284736017846451,-0.2284736017846451,-0.2284736017846451,1
