model,common112_cv_r2_mean,common112_cv_r2_std,submitted159_cv_r2_mean,submitted159_cv_r2_std
Elastic Net,0.20262341151739918,0.18715685409750776,0.228969,0.075275
SVR,0.1867445354863264,0.18546249744675145,0.213595,0.117491
Random Forest,0.17889207213634517,0.23389228959225572,0.252316,0.128247
XGBoost,0.14349443688785418,0.23110697812264283,0.254011,0.098608
