bin_left,bin_right,bin_center,count
-4.2839966563652006,-3.8039666160024312,-4.0439816361838155,1
-3.8039666160024312,-3.3239365756396615,-3.563951595821046,1
-3.3239365756396615,-2.8439065352768917,-3.083921555458277,4
-2.8439065352768917,-2.3638764949141224,-2.603891515095507,5
-2.3638764949141224,-1.8838464545513531,-2.123861474732738,11
-1.8838464545513531,-1.4038164141885834,-1.6438314343699683,11
-1.4038164141885834,-0.9237863738258136,-1.1638013940071985,26
-0.9237863738258136,-0.44375633346304433,-0.683771353644429,14
-0.44375633346304433,0.03627370689972498,-0.20374131328165968,19
0.03627370689972498,0.5163037472624943,0.27628872708110963,26
0.5163037472624943,0.9963337876252645,0.7563187674438794,16
0.9963337876252645,1.4763638279880338,1.2363488078066491,17
1.4763638279880338,1.956393868350803,1.7163788481694184,4
1.956393868350803,2.4364239087135733,2.196408888532188,1
2.4364239087135733,2.9164539490763426,2.676438928894958,3
