structure_class,n,mean_log_P_est,median_log_P_est,std_log_P_est,min_log_P_est,max_log_P_est
porous,118,-0.6596512440563161,-0.8239058456574236,1.3206175929008759,-4.2839966563652006,2.9164539490763426
film,22,0.5236084724206344,0.6709793575850482,1.1499192477814595,-1.2586435192376149,2.552059535406101
hydrogel,14,0.12804030532807104,0.0769077959889807,0.7366094132337252,-1.163827850638265,1.8281441137549816
