canonical_row_index,paper_doi,structure_class,log_estimated_power_density,log_internal_resistance_Mohm
107,10.1016/j.apsusc.2025.164747,porous,-0.6839226676323439,2.3010299956639813
110,10.1016/j.nanoen.2022.107017,porous,-0.3716100480815215,1.0
111,10.1016/j.nanoen.2020.104922,porous,-0.4865147119229158,-0.1301817920206718
112,10.1038/s41467-024-49393-9,hydrogel,-0.0668919995997447,-3.0
113,10.1016/j.nanoen.2024.110187,film,-0.3170421724868569,-0.6575773191777937
114,10.1063/5.0139883,porous,-0.1249381575493767,0.0
116,10.1016/j.cej.2023.143443,film,0.0330218471799269,0.0
117,10.1021/acssuschemeng.5c09332,hydrogel,0.0791816079595423,-2.0
118,10.1016/j.nanoen.2020.105630,porous,-1.5281071486294195,-2.5228787452803374
122,10.1038/s41467-022-31221-7,porous,0.2091129720699776,-1.0
124,10.1039/d4cc01652a,porous,0.3424228782287441,-1.4436974992327127
125,10.1038/s41467-025-61898-5,hydrogel,0.4548450123925122,-2.0
126,10.1002/adma.202201228,hydrogel,0.386944802542633,0.3424226808222063
127,10.1016/j.nanoen.2021.106605,porous,0.4490926855352072,-1.3010299956639813
128,10.1038/s41565-021-00903-6,film,0.7419391564057284,1.3010299956639813
129,10.1021/acsnano.4c01179,hydrogel,0.1639439505925984,-1.0969100130080565
130,10.1039/C8EE01502C,porous,0.3064252420170452,1.6989700043360187
131,10.1021/acs.nanolett.2c00919,porous,0.4382457565100884,-1.154901959985743
133,10.1039/d5ta06289f,porous,0.0128376463500955,-2.0809219076239263
135,10.1016/j.cej.2025.164788,hydrogel,0.6434527751894676,-1.0
136,10.1039/d2ta05221k,hydrogel,0.0746339840184191,-2.0
138,10.1021/acsami.4c03828,film,0.6000195587643682,0.1643528557844371
140,10.1016/j.cej.2024.153411,porous,0.6720979503387888,-3.0
141,10.1016/j.cej.2024.151660,porous,0.4791505966286419,-2.5228787452803374
142,10.1038/s41467-025-60341-z,hydrogel,0.7871061639417858,-2.0
145,10.1016/j.nanoen.2022.107709,film,1.0711914087490777,-0.8860566476931632
147,10.1038/s41467-022-30156-3,porous,1.0969100477516136,-2.397940008672037
148,10.1039/C9EE00252A,film,1.3010300173787048,-1.3010299956639813
150,10.1002/adfm.202308620,film,1.3802112598072092,-1.3979400086720375
151,10.1002/advs.202300750,film,1.4525530785479546,-1.0
152,10.1038/s41467-024-50396-9,hydrogel,1.8281441137549816,-2.0457574905606752
153,10.1016/j.cej.2023.142097,porous,2.1398790895482978,-1.0
155,10.1002/adma.202103897,film,2.552059535406101,-2.096910013008056
156,10.1039/D3EE00843F,film,2.505149979677076,-3.3010299956639813
157,10.1016/j.nanoen.2024.110291,porous,0.6109289592680012,0.4771212547196624
