structure_class,n,mean_log_R,median_log_R,std_log_R,min_log_R,max_log_R
porous,84,-0.42916981017908445,-0.2279659778248622,1.370990493831792,-3.4685210829577446,3.0
film,13,-0.946161528079915,-1.0,1.1728010293776578,-3.3010299956639813,1.3010299956639813
hydrogel,10,-1.7085915063001291,-2.0,0.9151215870850017,-3.0,0.3424226808222063
