model,n_rows,train_R2,test_R2,test_RMSE,test_MAE,cv_R2_mean,cv_R2_std,cv_RMSE_mean,cv_RMSE_std,cv_MAE_mean,cv_MAE_std
Linear Elastic Net descriptor,107,0.4684039372285723,0.10201224463773062,1.1552016295426761,0.8672342194742882,0.17297647649639022,0.16715838022831653,1.1091335956537325,0.12896722528724572,0.870908516838784,0.12623989180657022
Polynomial Elastic Net descriptor,107,0.4713928289759153,0.09922868685806963,1.1569906753477048,0.8765106039627938,0.1586468935316133,0.1021943253680438,1.1330364141856508,0.16908721958150014,0.888489468148895,0.10061343872379185
