Voc_V,Jsc_uA_cm2,P_reported_uW_cm2,P_est_uW_cm2,log_P_est,log_P_reported,log_Voc,log_Jsc,mechanism,structure,ion,delta_logP_est_minus_reported
0.33,7.5,,0.61875,-0.2084840861688702,,-0.4814860601221125,0.8750612633917001,ion_gradient,porous,other_cation,
1.2,9.0,0.25,2.7,0.4313639250087656,-0.6020599913279624,0.07918124604762482,0.9542425094393249,ion_gradient,porous,other_cation,1.033423916336728
2.13,9.1,18.5,4.84575,0.68536109405565,1.2671717284030137,0.3283796034387377,0.9590413923210935,ion_gradient,porous,proton,-0.5818106343473637
0.77,9.25,0.522,1.780625,0.2505727104835085,-0.28232949699773785,-0.11350927482751812,0.9661417327390326,ion_gradient,porous,other_cation,0.5329022074812464
0.385,11.0,0.198,1.05875,0.024793833534066,-0.7033348097384688,-0.4145392704914993,1.0413926851582251,ion_gradient,porous,other_cation,0.7281286432725349
0.4,14.0,,1.4,0.1461283458884714,,-0.3979400086720376,1.146128035678238,ion_gradient,porous,other_cation,
0.92,14.17,1.74,3.2591,0.5130978195209875,0.24054924828259971,-0.036212172654444715,1.1513698502474603,ion_gradient,porous,other_cation,0.2725485712383878
1.4,14.9,4.4,5.215,0.7172543960404865,0.6434526764861874,0.146128035678238,1.173186268412274,streaming,porous,proton,0.07380171955429904
2.9,16.8,,12.18,1.0856473239532165,,0.4623979978989561,1.2253092817258628,streaming,porous,proton,
0.857,22.0,3.82,4.7135,0.6733436035558605,0.5820633629117087,-0.06701917807680184,1.3424226808222062,ion_gradient,porous,other_cation,0.09128024064415186
0.6,22.0,2.1,3.3,0.518514071482256,0.3222192947339193,-0.2218487496163564,1.3424226808222062,ion_gradient,porous,other_cation,0.19629477674833673
0.46,25.0,,2.875,0.4586380000845733,,-0.3372421683184259,1.3979400086720377,ion_gradient,porous,other_cation,
1.21,34.72,5.96,10.5028,1.0213051368432924,0.7752462597402364,0.08278537031645007,1.5405797165044544,ion_gradient,porous,other_cation,0.24605887710305596
0.6,45.0,12.5,6.75,0.8293038371709434,1.0969100130080565,-0.2218487496163564,1.6532125137753437,ion_gradient,porous,other_cation,-0.2676061758371131
0.96,68.4,,16.416,1.215267369887282,,-0.017728766960431602,1.8350561017201164,ion_gradient,porous,other_cation,
0.43,71.0,7.7,7.6325,0.8826668698713812,0.8864907251724818,-0.36653154442041347,1.8512583487190752,streaming,porous,proton,-0.0038238553011006315
0.84,75.0,5.74,15.75,1.1972805856998712,0.7589118923979735,-0.07572071393811836,1.8750612633917,ion_gradient,porous,other_cation,0.43836869330189765
1.1,80.0,6.75,22.0,1.3424227005628642,0.829303772831025,0.04139268515822508,1.9030899869919435,ion_gradient,porous,other_cation,0.5131189277318392
1.9,86.0,40.9,40.85,1.611192071499878,1.6117233080073419,0.2787536009528289,1.9344984512435677,streaming,porous,proton,-0.0005312365074638947
0.71,91.0,,16.1525,1.208239776599343,,-0.14874165128092473,1.9590413923210936,ion_gradient,porous,other_cation,
0.63,140.0,16.55,22.05,1.3434086134997518,1.2187979981117376,-0.2006594505464183,2.146128035678238,ion_gradient,film,anion,0.12461061538801421
1.1,3000.0,1500.0,825.0000000000001,2.9164539490763426,3.1760912590556813,0.04139268515822508,3.4771212547196626,ion_gradient,porous,other_cation,-0.25963730997933876
0.47,0.68,0.0367,0.0799,-1.0974477852446545,-1.4353339357479107,-0.3279021420642826,-0.16749108729376366,ion_gradient,porous,other_cation,0.3378861505032562
1.2,50.0,22.5,15.0,1.1760912880086458,1.3521825181113625,0.07918124604762482,1.6989700043360187,ion_gradient,porous,other_cation,-0.17609123010271666
1.32,0.004,,0.00132,-2.8790971823854727,,0.12057393120584989,-2.3979400086720375,streaming,porous,proton,
0.6,0.05,0.0075,0.0075,-2.124880834537432,-2.1249387366083,-0.2218487496163564,-1.3010299956639813,streaming,porous,anion,5.7902070867754674e-05
2.2,0.095,0.014,0.05225,-1.2819053934403335,-1.853871964321762,0.3424226808222063,-1.0222763947111522,streaming,porous,proton,0.5719665708814285
2.7,0.0533,,0.0359775,-1.4439569470300029,,0.43136376415898736,-1.2732727909734278,streaming,porous,proton,
0.11,0.022,0.00063,0.000605,-3.217527375833714,-3.2006594505464183,-0.958607314841775,-1.6575773191777938,streaming,porous,proton,-0.016867925287295638
0.16,0.17,,0.0068,-2.16742722515382,,-0.7958800173440752,-0.769551078621726,ion_gradient,porous,other_cation,
0.65,0.75,,0.121875,-0.9140818078661233,,-0.18708664335714442,-0.12493873660829995,streaming,porous,proton,
0.4,4.0,,0.4,-0.39793892293719,,-0.3979400086720376,0.6020599913279624,ion_gradient,film,proton,
0.45,5.0,1.0,0.5625,-0.2498767011382072,0.0,-0.3467874862246563,0.6989700043360189,streaming,film,proton,-0.2498767011382072
0.34,5.0,,0.425,-0.3716100480815215,,-0.46852108295774486,0.6989700043360189,ion_gradient,hydrogel,other_cation,
0.28,6.2,0.9,0.434,-0.3625092698101124,-0.045757490560675115,-0.5528419686577808,0.7923916894982539,ion_gradient,porous,other_cation,-0.31675177924943726
0.75,8.7,1.4,1.63125,0.2125207909164396,0.146128035678238,-0.12493873660829995,0.9395192526186185,ion_gradient,porous,proton,0.0663927552382016
0.3,19.3,0.88,1.4475,0.1606188724301003,-0.05551732784983137,-0.5228787452803376,1.2855573090077739,ion_gradient,porous,other_cation,0.2161362002799317
0.43,29.5,25.52,3.17125,0.5012306171771781,1.4068806700491248,-0.36653154442041347,1.469822015978163,ion_gradient,porous,other_cation,-0.9056500528719467
0.66,110.0,26.4,18.15,1.2588766533002014,1.421603926869831,-0.1804560644581313,2.041392685158225,ion_gradient,porous,other_cation,-0.16272727356962968
0.6,520.0,123.09,78.0,1.8920946082583583,2.090222771686575,-0.2218487496163564,2.716003343634799,ion_gradient,porous,other_cation,-0.1981281634282166
0.13,2.11,,0.068575,-1.163827850638265,,-0.8860566476931632,0.3242824552976926,ion_gradient,hydrogel,other_cation,
0.068,0.003,,5.1000000000000006e-05,-4.2839966563652006,,-1.1674910872937636,-2.5228787452803374,ion_gradient,porous,proton,
0.115,0.0143,,0.000411125,-3.3849710398487907,,-0.9393021596463883,-1.8446639625349381,ion_gradient,porous,proton,
4.2,0.0177,,0.018585,-1.7308140671860484,,0.6232492903979004,-1.7520267336381934,ion_gradient,porous,proton,
0.12,0.025,,0.00075,-3.1243600629958315,,-0.9208187539523752,-1.6020599913279623,ion_gradient,porous,proton,
0.83,0.03,,0.006225,-2.205790883653504,,-0.08092190762392612,-1.5228787452803376,ion_gradient,porous,proton,
0.276,0.07,0.0013,0.00483,-2.3159629625134803,-2.886056647693163,-0.5590909179347823,-1.154901959985743,ion_gradient,porous,proton,0.5700936851796827
0.3,0.08,0.0084,0.006,-2.2217763732339035,-2.0757207139381184,-0.5228787452803376,-1.0969100130080565,ion_gradient,porous,proton,-0.14605565929578512
0.65,0.09,,0.0146249999999999,-1.8348744309117715,,-0.18708664335714442,-1.0457574905606752,ion_gradient,porous,proton,
