model,descriptor_set,analysis_population,resistance_handling,validation_protocol,preprocessing,selected_hyperparameters,n_rows,R2_CV_mean,R2_CV_std,cv_split_fingerprint
Elastic Net,Model_B_common112_observed_R,common n=112 observed-R records,no imputation,"StratifiedShuffleSplit, 30 splits, seed 42",training-fold categorical most-frequent imputation/one-hot encoding; numeric median imputation where applicable,Validated R1C2 tuned settings; see results/revision/R1C2/analysis_metadata.json,112,0.20262341151739918,0.18715685409750776,ee7a984b24b3b3d1fdef4d9ae97d5e4c4188789665b26275ba715636c9de8df7
SVR,Model_B_common112_observed_R,common n=112 observed-R records,no imputation,"StratifiedShuffleSplit, 30 splits, seed 42",training-fold categorical most-frequent imputation/one-hot encoding; numeric median imputation where applicable,Validated R1C2 tuned settings; see results/revision/R1C2/analysis_metadata.json,112,0.1867445354863264,0.18546249744675145,ee7a984b24b3b3d1fdef4d9ae97d5e4c4188789665b26275ba715636c9de8df7
Random Forest,Model_B_common112_observed_R,common n=112 observed-R records,no imputation,"StratifiedShuffleSplit, 30 splits, seed 42",training-fold categorical most-frequent imputation/one-hot encoding; numeric median imputation where applicable,Validated R1C2 tuned settings; see results/revision/R1C2/analysis_metadata.json,112,0.17889207213634517,0.23389228959225572,ee7a984b24b3b3d1fdef4d9ae97d5e4c4188789665b26275ba715636c9de8df7
XGBoost,Model_B_common112_observed_R,common n=112 observed-R records,no imputation,"StratifiedShuffleSplit, 30 splits, seed 42",training-fold categorical most-frequent imputation/one-hot encoding; numeric median imputation where applicable,Validated R1C2 tuned settings; see results/revision/R1C2/analysis_metadata.json,112,0.14349443688785418,0.23110697812264283,ee7a984b24b3b3d1fdef4d9ae97d5e4c4188789665b26275ba715636c9de8df7
