model,n_rows,train_R2,test_R2,test_RMSE,test_MAE,cv_R2_mean,cv_R2_std,cv_RMSE_mean,cv_RMSE_std,cv_MAE_mean,cv_MAE_std
Linear Elastic Net descriptor,107,0.46840393722857232,0.10201224463773061,1.1552016295426759,0.86723421947428825,0.1729764764963902,0.1671583802283165,1.1091335956537325,0.12896722528724569,0.87090851683878401,0.12623989180657019
Polynomial Elastic Net descriptor,107,0.47139282897591528,0.099228686858069598,1.1569906753477048,0.87651060396279379,0.15864689353161329,0.10219432536804381,1.1330364141856508,0.16908721958150011,0.88848946814889496,0.1006134387237918
