comparison,inorganic_electrolyte_group,count,mean,median,std,min,max,ion_type_clean,structure_class_clean
inorganic electrolyte condition,without_inorganic_electrolyte,71,-0.23458427478199445,0,1.3518937011204279,-3.3010299956639813,3,,
inorganic electrolyte condition,with_inorganic_electrolyte,41,-1.4267681523136129,-1.6575773191777938,1.0187595890272338,-3.4685210829577446,0.90308998699194365,,
ion type,,62,-0.23617425278195955,0,1.3530355497462252,-3.3010299956639813,3,proton,
ion type,,42,-1.4033155696288773,-1.638683038733094,1.0457400242332235,-3.4685210829577446,0.90308998699194365,other_cation,
ion type,,8,-0.19636501968567421,-0.18361955576028055,1.4056469739785411,-2,1.7781512503836436,anion,
structure class,,84,-0.4291698101790844,-0.22796597782486219,1.3709904938317921,-3.4685210829577446,3,,porous
structure class,,13,-0.94616152807991505,-1,1.1728010293776578,-3.3010299956639813,1.3010299956639813,,film
structure class,,10,-1.7085915063001291,-2,0.91512158708500158,-3,0.34242268082220628,,hydrogel
