descriptor_model,label,n_samples,cv_R2_mean,cv_R2_std,test_R2
baseline_logR,Raw log(R),112,0.3047562041349838,0.146939067215394,0.3202843268100538
centered_logR,Centered log(R),112,0.3047562041349838,0.146939067215394,0.3202843268100538
R_regime_descriptor,R-regime descriptor,112,0.3102820207766089,0.1553166622608408,0.2023249785659702
