ion_type_clean,count,mean,median,std,min,max
proton,62,-0.23617425278195955,0.0,1.3530355497462252,-3.3010299956639813,3.0
other_cation,42,-1.4033155696288773,-1.638683038733094,1.0457400242332235,-3.4685210829577446,0.9030899869919436
anion,8,-0.1963650196856742,-0.18361955576028055,1.405646973978541,-2.0,1.7781512503836436
