inorganic_electrolyte_group,count,mean,median,std,min,max
without_inorganic_electrolyte,71,-0.23458427478199445,0.0,1.351893701120428,-3.3010299956639813,3.0
with_inorganic_electrolyte,41,-1.4267681523136129,-1.6575773191777938,1.0187595890272338,-3.4685210829577446,0.9030899869919436
