structure_class_clean,count,mean,median,std,min,max
porous,84,-0.4291698101790844,-0.2279659778248622,1.370990493831792,-3.4685210829577446,3.0
film,13,-0.946161528079915,-1.0,1.1728010293776578,-3.3010299956639813,1.3010299956639813
hydrogel,10,-1.7085915063001291,-2.0,0.9151215870850016,-3.0,0.3424226808222063
