Model,R2,RMSE,MAE
ElasticNet,0.2529103084242402,1.1414219993223402,0.8895480223238514
SVR,0.2621284221625455,1.1343583121103666,0.8806912508373186
RandomForest,0.29510019232982454,1.1087242914416988,0.8528452844033221
XGBoost,0.2889954716223927,1.1135149445184107,0.8589708474660042
