Setting,Raw_features,CV_R2_mean,CV_R2_std,CV_R2_min,CV_R2_max,CV_RMSE_mean,CV_MAE_mean
Minus_mechanism,17,0.19876913962991444,0.14981173575061904,-0.16182935884415572,0.4494843667276205,1.1460744904959776,0.8830786847135841
Full_Model_B,18,0.18575718467274402,0.15409687196010644,-0.18511836447102703,0.4449348314505883,1.1548889892952139,0.8879609425246308
Minus_ion_type,17,0.18283465922102174,0.15423883928212112,-0.1986926137047671,0.487316683340012,1.1563078643687714,0.8827616760040605
Minus_internalR,16,0.10610591075257628,0.20727731465116206,-0.5963411286151343,0.4108284366621574,1.2067354669301524,0.9232272529393611
Minus_structure,17,0.10048214118854785,0.16695311661986192,-0.2490863212016181,0.37597783187609435,1.2138868919230767,0.9291448555399638
