structure_class,R_regime,count,mean,median,std
film,high_R,6,0.1673661420930721,0.3165207029721475,0.8070885922145874
film,low_R,7,1.406972649600553,1.3802112598072092,1.0734797134469989
hydrogel,high_R,1,0.386944802542633,0.386944802542633,
hydrogel,low_R,9,0.32937999457474076,0.1639439505925984,0.762342219500496
hydrogel + film,low_R,1,1.0059094893370626,1.0059094893370626,
hydrogel + porous,low_R,4,0.7695555735253194,0.7802960406968974,0.36218211652966587
porous,high_R,50,-0.9969265325991643,-0.9972981411338104,1.2336092340074303
porous,low_R,34,0.1720019284766396,0.3077121909580718,0.9163168911096515
