structure_R_descriptor,count,mean,std,min,max
film_low_R_regime,7,1.406972649600553,1.0734797134469989,-0.6856039371129267,2.552059535406101
hydrogel + film_low_R_regime,1,1.0059094893370626,,1.0059094893370626,1.0059094893370626
hydrogel + porous_low_R_regime,4,0.7695555735253194,0.36218211652966587,0.315550744428857,1.2020794682786262
hydrogel_low_R_regime,9,0.32937999457474076,0.762342219500496,-0.9999956570768956,1.8281441137549816
porous_low_R_regime,34,0.1720019284766396,0.9163168911096515,-1.5281071486294195,2.1398790895482978
film_high_R_regime,15,0.11137185640333902,0.9577889841130448,-1.2586435192376149,1.909823374996075
hydrogel_high_R_regime,5,-0.2343711353159344,0.5879710849254325,-1.163827850638265,0.386944802542633
porous_high_R_regime,84,-0.9962727662720363,1.31400802901057,-4.2839966563652006,2.9164539490763426
