model,n_samples,train_R2,test_R2,test_RMSE,test_MAE,cv_R2_mean,cv_R2_std,best_alpha,best_l1_ratio
R_regime_descriptor,112,0.46971042001512686,0.2023249785659702,0.9915454424794905,0.7533316084548013,0.3102820207766089,0.15531666226084082,0.002773562614198415,0.9
baseline_logR,112,0.46039251906555445,0.3202843268100538,0.9152995913261199,0.7203642221689556,0.30475620413498383,0.14693906721539404,0.0013779723598335567,1.0
centered_logR,112,0.46039251906555456,0.3202843268100538,0.9152995913261199,0.7203642221689555,0.30475620413498383,0.14693906721539401,0.0013779723598335567,1.0
