simplified_rule,count,mean,std,min,max
Rule 1: low R → higher power,55,0.41355319727310225,0.9572200419243987,-1.5281071486294195,2.552059535406101
Rule 3: high R → lower power,20,0.02493610847352068,0.8788193225267448,-1.2586435192376149,1.909823374996075
Rule 2: high R + porous → lower power,84,-0.9962727662720363,1.31400802901057,-4.2839966563652006,2.9164539490763426
