threshold_log_R,n_low_R,n_high_R,median_low_R,median_high_R,median_separation_low_minus_high,mean_separation_low_minus_high,R2_CV_mean_regime_only,R2_CV_std_regime_only
-2.3010299956639813,13,99,0.6720979503387888,-0.1031977515497815,0.7752957018885703,1.005480767117874,0.0368151528070841,0.08149012805155374
-2.218504245772382,14,98,0.5866642837579834,-0.09337163829131076,0.6800359220492942,0.8802944554030087,0.029826593032326643,0.05878665035212457
-2.1359784958807824,14,98,0.5866642837579834,-0.09337163829131076,0.6800359220492942,0.8802944554030087,0.029826593032326643,0.05878665035212457
-2.0534527459891825,16,96,0.5866642837579834,-0.1140679545495791,0.7007322383075625,1.0068046845177703,0.04335554910746642,0.06770620179245525
-1.970926996097583,26,86,0.5071642183490828,-0.3539069919984925,0.8610712103475753,1.1186906962044718,0.12636202058308615,0.055818643783378315
-1.8884012462059836,26,86,0.5071642183490828,-0.3539069919984925,0.8610712103475753,1.1186906962044718,0.12636202058308615,0.055818643783378315
-1.8058754963143842,26,86,0.5071642183490828,-0.3539069919984925,0.8610712103475753,1.1186906962044718,0.12636202058308615,0.055818643783378315
-1.7233497464227847,27,85,0.5012306171771781,-0.3716100480815215,0.8728406652586995,1.1115052219697936,0.1270972938479697,0.0565940810952709
-1.640823996531185,32,80,0.46699780451057704,-0.3539069919984925,0.8209047965090696,0.9137068729148012,0.09521650506483718,0.04397907840155793
-1.5582982466395854,33,79,0.4791505966286419,-0.3716100480815215,0.8507606447101634,0.9403153009733052,0.10349275658903356,0.05848326459482903
-1.475772496747986,33,79,0.4791505966286419,-0.3716100480815215,0.8507606447101634,0.9403153009733052,0.10349275658903356,0.05848326459482903
-1.3932467468563865,37,75,0.5012306171771781,-0.6430166900243307,1.1442473072015087,1.0793372134708674,0.15346568481596662,0.052800225644586585
-1.310720996964787,38,74,0.5071642183490828,-0.6634696788283373,1.17063389717742,1.1073088749180793,0.1613957487571439,0.04551798371577914
-1.2281952470731874,43,69,0.5012306171771781,-0.7447250821562743,1.2459556993334524,1.2255044667624553,0.20946464422736916,0.06917397838548449
-1.145669497181588,44,68,0.49751860931815534,-0.7603538389941364,1.2578724483122918,1.2402623785889606,0.22126014780265932,0.07048486571303823
-1.0631437472899883,46,66,0.48647859904388724,-0.7999442207447112,1.2864228197885983,1.2199797880426768,0.21355143064656587,0.05151318619020883
-1.0,55,57,0.4548450123925122,-0.8239058456574236,1.2787508580499358,1.2636441617442802,0.19201324967718902,0.08472696415546031
-0.9806179973983888,55,57,0.4548450123925122,-0.8239058456574236,1.2787508580499358,1.2636441617442802,0.19201324967718902,0.08472696415546031
-0.8980922475067894,56,56,0.4519688489638597,-0.7999442207447112,1.251913069708571,1.1887265160687646,0.149408798007785,0.12731895024766068
-0.8155664976151897,58,54,0.4519688489638597,-0.7999442207447112,1.251913069708571,1.207571842889774,0.14983411238459646,0.138116466200054
-0.7330407477235903,58,54,0.4519688489638597,-0.7999442207447112,1.251913069708571,1.207571842889774,0.14983411238459646,0.138116466200054
-0.6505149978319906,60,52,0.44366922102264783,-0.8350439668215067,1.2787131878441547,1.2136114290667763,0.1520465990761089,0.1427660818044073
-0.5679892479403912,62,50,0.44366922102264783,-0.8975128525799855,1.3411820736026332,1.257287590939438,0.1700673552106804,0.15796909909390378
-0.48546349804879174,62,50,0.44366922102264783,-0.8975128525799855,1.3411820736026332,1.257287590939438,0.1700673552106804,0.15796909909390378
-0.4029377481571921,62,50,0.44366922102264783,-0.8975128525799855,1.3411820736026332,1.257287590939438,0.1700673552106804,0.15796909909390378
-0.32041199826559263,62,50,0.44366922102264783,-0.8975128525799855,1.3411820736026332,1.257287590939438,0.1700673552106804,0.15796909909390378
-0.23788624837399297,65,47,0.4382457565100884,-1.1036722364925795,1.5419179930026679,1.30587442138625,0.18586497965974152,0.1861534000397682
-0.15536049848239353,65,47,0.4382457565100884,-1.1036722364925795,1.5419179930026679,1.30587442138625,0.18586497965974152,0.1861534000397682
-0.07283474859079409,70,42,0.29427612405812825,-1.1143025912731956,1.4085787153313238,1.1621882961197356,0.13339042646806593,0.1401047771430971
0.009691001300805357,80,32,0.2108168814932086,-1.2034191697470726,1.4142360512402812,1.1421319826309222,0.06395442487805195,0.23198510636956207
0.0922167511924048,82,30,0.18652846133128798,-1.2034191697470726,1.3899476310783605,1.1334703705726956,0.05318124575630303,0.25373246799586896
0.1747425010840047,83,29,0.2091129720699776,-1.2819053934403335,1.491018365510311,1.1970291073183534,0.05031107174694418,0.2802977818315679
0.25726825097560413,85,27,0.1639439505925984,-1.3320709851484356,1.496014935741034,1.2065452064420006,0.04658146453398648,0.2617738595931529
0.33979400086720357,90,22,0.10475784907702275,-0.8975128525799855,1.0022707016570083,0.9259835145477837,-0.03801569247279777,0.21268293698739008
0.422319750758803,92,20,0.10475784907702275,-0.8975128525799855,1.0022707016570083,0.9656641897893572,-0.02655479268125094,0.1707274636680324
0.5048455006504025,94,18,0.14547648131230176,-1.1153745053073574,1.260850986619659,1.1684386307663361,-0.013986842149922896,0.23813597337873416
0.5873712505420023,94,18,0.14547648131230176,-1.1153745053073574,1.260850986619659,1.1684386307663361,-0.013986842149922896,0.23813597337873416
