structure_class,count,mean,median,std,min,max
film,22,0.5236084724206344,0.6709793575850482,1.1499192477814595,-1.2586435192376149,2.552059535406101
hydrogel,14,0.12804030532807104,0.0769077959889807,0.7366094132337252,-1.163827850638265,1.8281441137549816
hydrogel + film,1,1.0059094893370626,1.0059094893370626,,1.0059094893370626,1.0059094893370626
hydrogel + porous,4,0.7695555735253194,0.7802960406968974,0.36218211652966587,0.315550744428857,1.2020794682786262
porous,118,-0.6596512440563161,-0.8239058456574236,1.3206175929008759,-4.2839966563652006,2.9164539490763426
