ion_type,count,mean,median,std,min,max
anion,9,-0.9139294112630686,-0.6996741318941417,1.259298794691084,-2.6987529113637887,1.3434086134997518
other_cation,54,0.34427681869248683,0.4567415062385427,0.9718529129554767,-2.6062493596519194,2.9164539490763426
proton,96,-0.7375869568269445,-0.9744196371256384,1.3430742877764466,-4.2839966563652006,2.552059535406101
