structure_label,High-R,Low-R,Threshold,Low_minus_High
Film,1.1032508170267572,1.7943739183346656,1.4488123676807114,0.6911231013079084
Hydrogel,0.0379331689259542,0.729056270233863,0.3834947195799086,0.6911231013079088
Hydrogel + film,0.7032094996018208,1.3943326009097294,1.0487710502557752,0.6911231013079087
Hydrogel + porous,0.1037379680417476,0.7948610693496563,0.4492995186957019,0.6911231013079087
Porous,-0.1922377548308507,0.498885346477058,0.1533237958231036,0.6911231013079087
