descriptor,n,corr_with_log_P_est
ion_other_cation,159,0.39339858185686627
struct_film,159,0.27424599288203194
struct_hydrogel_plus_porous,159,0.1398583297354643
struct_hydrogel,159,0.11957508290295671
struct_hydrogel_plus_film,159,0.08350093160842169
ion_anion,159,-0.09901092826104978
ion_proton,159,-0.33412827233538706
mech_streaming,159,-0.35807648852863994
struct_porous,159,-0.35907367220674297
log_R,112,-0.5413800241133275
