,log_P_est,log_R,mech_streaming,ion_proton,ion_other_cation,struct_porous,struct_film,struct_hydrogel
log_P_est,1.0,-0.5413800241133276,-0.3580764885286398,-0.33412827233538706,0.39339858185686605,-0.35907367220674274,0.2742459928820319,0.11957508290295661
log_R,-0.5413800241133276,1.0,0.3178053664185085,0.3566977466067468,-0.4178633365110829,0.3085690572850127,-0.07345029840983432,-0.23932508404205985
mech_streaming,-0.3580764885286398,0.3178053664185085,1.0,0.400278960700895,-0.4999332398688522,0.25769436063713924,-0.12405050244171516,-0.16930535189965437
ion_proton,-0.33412827233538706,0.3566977466067468,0.400278960700895,1.0,-0.8852533362759809,0.05157810477082167,0.21290524863246255,-0.24743731094513563
ion_other_cation,0.39339858185686605,-0.4178633365110829,-0.4999332398688522,-0.8852533362759809,1.0,-0.06300709817547398,-0.21045347402364484,0.24582525720581141
struct_porous,-0.35907367220674274,0.3085690572850127,0.25769436063713924,0.05157810477082167,-0.06300709817547398,1.0,-0.6798296972805844,-0.5271437867500356
struct_film,0.2742459928820319,-0.07345029840983432,-0.12405050244171516,0.21290524863246255,-0.21045347402364484,-0.6798296972805844,1.0,-0.12451769525215534
struct_hydrogel,0.11957508290295661,-0.23932508404205985,-0.16930535189965437,-0.24743731094513563,0.24582525720581141,-0.5271437867500356,-0.12451769525215534,1.0
