mechanism_simple,log_P_est
streaming,-2.425852935849277
streaming,-2.6987529113637887
streaming,-2.0279824013259846
streaming,-2.106737714112009
streaming,-2.7956086680807
ion_gradient,-2.505011026316832
streaming,-1.1249329460538116
streaming,-1.6020426198961126
streaming,-1.7447033680956598
streaming,-2.244048958995868
streaming,-0.8050668284037524
streaming,-1.3320709851484356
streaming,-1.580564725855803
streaming,-1.1674847006571667
streaming,-0.9488436171743811
streaming,-2.096855729590461
streaming,-1.3516302297021636
streaming,-1.6575575789681631
streaming,-1.1234155894264268
ion_gradient,-1.9585678353197349
streaming,-1.1249329460538116
streaming,-1.5228642690388767
streaming,-0.8461820879855898
streaming,-1.4629873008541796
streaming,-0.6996741318941417
streaming,-0.8239058456574236
streaming,-1.2561689448723472
streaming,-1.2586435192376149
streaming,-1.051826744841486
ion_gradient,-1.2022063603988264
streaming,-1.1036722364925795
streaming,-0.9999956570768956
streaming,-1.0457526650932398
streaming,-0.9208151348467722
streaming,-1.0915096194941762
streaming,-0.6430166900243307
streaming,-0.0115520833175728
streaming,0.2730015036873995
ion_gradient,-0.8519343762392272
streaming,0.4938066014591326
streaming,-0.6856039371129267
ion_gradient,-0.1031977515497815
streaming,-0.0636742914344295
ion_gradient,0.1303340901945032
streaming,-0.08354552503284
ion_gradient,-0.2084840861688702
ion_gradient,0.4313639250087656
ion_gradient,0.68536109405565
ion_gradient,0.2505727104835085
ion_gradient,0.024793833534066
ion_gradient,0.1461283458884714
ion_gradient,0.5130978195209875
streaming,0.7172543960404865
streaming,1.0856473239532165
ion_gradient,0.6733436035558605
ion_gradient,0.518514071482256
ion_gradient,0.4586380000845733
ion_gradient,1.0213051368432924
ion_gradient,0.8293038371709434
ion_gradient,1.215267369887282
streaming,0.8826668698713812
ion_gradient,1.1972805856998712
ion_gradient,1.3424227005628642
streaming,1.611192071499878
ion_gradient,1.208239776599343
ion_gradient,1.3434086134997518
ion_gradient,2.9164539490763426
ion_gradient,-1.0974477852446545
ion_gradient,1.1760912880086458
streaming,-2.8790971823854727
streaming,-2.124880834537432
streaming,-1.2819053934403335
streaming,-1.4439569470300029
streaming,-3.217527375833714
ion_gradient,-2.16742722515382
streaming,-0.9140818078661233
ion_gradient,-0.39793892293719
streaming,-0.2498767011382072
ion_gradient,-0.3716100480815215
ion_gradient,-0.3625092698101124
ion_gradient,0.2125207909164396
ion_gradient,0.1606188724301003
ion_gradient,0.5012306171771781
ion_gradient,1.2588766533002014
ion_gradient,1.8920946082583583
ion_gradient,-1.163827850638265
ion_gradient,-4.2839966563652006
ion_gradient,-3.3849710398487907
ion_gradient,-1.7308140671860484
ion_gradient,-3.1243600629958315
ion_gradient,-2.205790883653504
ion_gradient,-2.3159629625134803
ion_gradient,-2.2217763732339035
ion_gradient,-1.8348744309117715
ion_gradient,-2.8474059220725305
ion_gradient,-1.9999565727231368
ion_gradient,-1.8761157065399925
ion_gradient,-1.325588995834374
ion_gradient,-1.2309847368726377
ion_gradient,-0.9999956570768956
streaming,-0.3362039359154635
ion_gradient,-1.1249329460538116
ion_gradient,-0.924449389089342
ion_gradient,-0.7447250821562743
ion_gradient,-1.338816977303591
ion_gradient,-0.8239058456574236
ion_gradient,-0.7759825958319986
ion_gradient,-0.6839226676323439
ion_gradient,-1.0457526650932398
ion_gradient,-1.1771718240019096
ion_gradient,-0.3716100480815215
ion_gradient,-0.4865147119229158
ion_gradient,-0.0668919995997447
ion_gradient,-0.3170421724868569
streaming,-0.1249381575493767
ion_gradient,0.0746339840184191
ion_gradient,0.0330218471799269
ion_gradient,0.0791816079595423
ion_gradient,-1.5281071486294195
ion_gradient,-0.0979965644209375
ion_gradient,-0.2819128740320925
ion_gradient,0.3978098745501945
ion_gradient,0.2091129720699776
ion_gradient,0.315550744428857
ion_gradient,0.3424228782287441
ion_gradient,0.4548450123925122
ion_gradient,0.386944802542633
ion_gradient,0.4490926855352072
ion_gradient,0.7419391564057284
ion_gradient,0.1639439505925984
ion_gradient,0.3064252420170452
ion_gradient,0.4382457565100884
ion_gradient,0.4393328517555001
ion_gradient,0.0128376463500955
ion_gradient,1.0059094893370626
ion_gradient,0.6434527751894676
ion_gradient,0.0746339840184191
ion_gradient,0.7873542612984434
ion_gradient,0.6000195587643682
ion_gradient,0.7732378200953514
ion_gradient,0.6720979503387888
ion_gradient,0.4791505966286419
ion_gradient,0.7871061639417858
ion_gradient,0.8238002189103355
ion_gradient,1.2020794682786262
ion_gradient,1.0711914087490777
ion_gradient,0.977723651004054
ion_gradient,1.0969100477516136
ion_gradient,1.3010300173787048
ion_gradient,1.1383027297513335
ion_gradient,1.3802112598072092
ion_gradient,1.4525530785479546
ion_gradient,1.8281441137549816
ion_gradient,2.1398790895482978
ion_gradient,1.909823374996075
ion_gradient,2.552059535406101
ion_gradient,2.505149979677076
ion_gradient,0.6109289592680012
ion_gradient,-2.6062493596519194
