R_bin,log_R_center,log_R_min,log_R_max,mean_log_P_est,median_log_P_est,std_log_P_est,n,sem_log_P_est
"(-3.4699999999999998, -2.0]",-2.3738538302613312,-3.4685210829577446,-2.0,0.6294432209709648,0.5071642183490828,0.9222047554845946,26,0.18085923245169272
"(-2.0, -1.114]",-1.451633403456082,-1.769551078621726,-1.1249387366083,0.31480701824307655,0.4490926855352072,0.8583560125642625,19,0.1969203745446394
"(-1.114, -0.127]",-0.7492065463920755,-1.0969100130080565,-0.1301817920206718,-0.19231877821330945,-0.2101199620183192,1.1316156309788128,22,0.241261263163889
"(-0.127, 0.318]",0.06827358635623894,-0.1249387366082999,0.3010299956639812,-0.9465837004488423,-1.1143025912731956,1.0584707445950592,22,0.225666720989123
"(0.318, 3.0]",1.2664687660377758,0.3222192947339193,3.0,-1.0000331167883794,-0.9488436171743811,1.4470377955276377,23,0.30172823805288657
