log_R,log_P_est,R_regime
0.9030899869919436,-2.425852935849277,high_R
1.5352941200427703,-2.6987529113637887,high_R
1.7781512503836436,-2.0279824013259846,high_R
0.3010299956639812,-2.505011026316832,high_R
0.3010299956639812,-1.3320709851484356,high_R
0.3222192947339193,-1.580564725855803,high_R
0.7781512503836436,-0.9488436171743811,high_R
-0.1549019599857432,-2.096855729590461,high_R
0.380211241711606,-1.3516302297021636,high_R
0.0791812460476248,-1.6575575789681631,high_R
0.3010299956639812,-1.9585678353197349,high_R
0.1760912590556812,-1.1249329460538116,high_R
-1.0,-1.5228642690388767,low_R
2.8609366207000937,-0.8461820879855898,high_R
-1.6989700043360187,-1.4629873008541796,low_R
0.0,-1.2561689448723472,high_R
-1.0,-1.051826744841486,low_R
-1.7212463990471711,-1.2022063603988264,low_R
0.0,-1.1036722364925795,high_R
-2.285670240254767,-0.9999956570768956,low_R
-0.8538719643217619,-1.0457526650932398,high_R
-0.5686362358410126,-0.6430166900243307,high_R
0.041392685158225,-0.0115520833175728,high_R
-2.3010299956639813,0.2730015036873995,low_R
-1.0,-0.8519343762392272,low_R
-1.3010299956639813,0.4938066014591326,low_R
-1.1249387366083,-0.6856039371129267,low_R
-0.6989700043360187,-0.1031977515497815,high_R
-1.6989700043360187,-0.0636742914344295,low_R
-1.0,0.1303340901945032,low_R
-0.1249387366082999,-0.08354552503284,high_R
-0.0969100130080563,-0.2084840861688702,high_R
0.0,0.4313639250087656,high_R
-1.275724130399211,0.2505727104835085,low_R
-0.3010299956639812,0.024793833534066,high_R
-2.0,0.5130978195209875,low_R
0.4771212547196624,0.7172543960404865,high_R
-2.3010299956639813,0.6733436035558605,low_R
-0.0457574905606751,0.518514071482256,high_R
0.9030899869919436,0.4586380000845733,high_R
-1.3010299956639813,1.0213051368432924,low_R
-1.3187587626244128,0.8293038371709434,low_R
-0.3187587626244128,0.8826668698713812,high_R
-2.0,1.1972805856998712,low_R
-2.5228787452803374,1.3424227005628642,low_R
1.0,1.611192071499878,high_R
-1.3979400086720375,1.208239776599343,low_R
-2.0,1.3434086134997518,low_R
-1.6575773191777938,-1.0974477852446545,low_R
-0.585026652029182,1.1760912880086458,high_R
0.3010299956639812,-2.124880834537432,high_R
0.6989700043360189,-1.2819053934403335,high_R
3.0,-3.217527375833714,high_R
-1.0,-0.9140818078661233,low_R
-2.036212172654445,-0.3625092698101124,low_R
-1.769551078621726,0.2125207909164396,low_R
-2.3279021420642825,0.1606188724301003,low_R
-2.508638306165728,0.5012306171771781,low_R
-3.4685210829577446,1.2588766533002014,low_R
1.625312450961674,-4.2839966563652006,high_R
-0.0969100130080563,-3.3849710398487907,high_R
1.1172712956557642,-1.7308140671860484,high_R
-0.9208187539523752,-2.3159629625134803,high_R
2.0,-2.2217763732339035,high_R
0.0,-1.9999565727231368,high_R
0.0,-1.325588995834374,high_R
0.2013971243204515,-0.3362039359154635,high_R
0.0,-1.1249329460538116,high_R
0.0,-0.7447250821562743,high_R
1.6283889300503116,-1.338816977303591,high_R
1.0,-0.8239058456574236,high_R
-0.3098039199714863,-0.7759825958319986,high_R
2.3010299956639813,-0.6839226676323439,high_R
1.0,-0.3716100480815215,high_R
-0.1301817920206718,-0.4865147119229158,high_R
-3.0,-0.0668919995997447,low_R
-0.6575773191777937,-0.3170421724868569,high_R
0.0,-0.1249381575493767,high_R
0.0,0.0330218471799269,high_R
-2.0,0.0791816079595423,low_R
-2.5228787452803374,-1.5281071486294195,low_R
-1.0,0.2091129720699776,low_R
-2.0,0.315550744428857,low_R
-1.4436974992327127,0.3424228782287441,low_R
-2.0,0.4548450123925122,low_R
0.3424226808222063,0.386944802542633,high_R
-1.3010299956639813,0.4490926855352072,low_R
1.3010299956639813,0.7419391564057284,high_R
-1.0969100130080565,0.1639439505925984,low_R
1.6989700043360187,0.3064252420170452,high_R
-1.154901959985743,0.4382457565100884,low_R
-2.0809219076239263,0.0128376463500955,low_R
-1.3979400086720375,1.0059094893370626,low_R
-1.0,0.6434527751894676,low_R
-2.0,0.0746339840184191,low_R
-1.6989700043360187,0.7873542612984434,low_R
0.1643528557844371,0.6000195587643682,high_R
-1.619788758288394,0.7732378200953514,low_R
-3.0,0.6720979503387888,low_R
-2.5228787452803374,0.4791505966286419,low_R
-2.0,0.7871061639417858,low_R
-3.0,1.2020794682786262,low_R
-0.8860566476931632,1.0711914087490777,high_R
-2.397940008672037,1.0969100477516136,low_R
-1.3010299956639813,1.3010300173787048,low_R
-1.3979400086720375,1.3802112598072092,low_R
-1.0,1.4525530785479546,low_R
-2.0457574905606752,1.8281441137549816,low_R
-1.0,2.1398790895482978,low_R
-2.096910013008056,2.552059535406101,low_R
-3.3010299956639813,2.505149979677076,low_R
0.4771212547196624,0.6109289592680012,high_R
